"ï..month","town","flat_type","block","street_name","mean_storey","floor_area_sqm","lease_commence_date","resale_price","adj_resale_price","price_per_sqm","adj_price_per_sqm","accom_cpi","MRT","HAWKER","SHOPPING.MALL"
"2000-01","SENGKANG","4 ROOM","7","SELETAR WEST FARMWAY 6",5,92,1980,175000,230378.3471,1902.173913,2504.112468,75.962,32,30,28
"2000-07","SENGKANG","4 ROOM","5","SELETAR WEST FARMWAY 6",2,92,1980,176000,231378.0138,1913.043478,2514.978411,76.066,32,30,28
"2000-08","SENGKANG","4 ROOM","5","SELETAR WEST FARMWAY 6",5,92,1980,149000,195879.9479,1619.565217,2129.129869,76.067,32,30,28
"2000-10","SENGKANG","4 ROOM","7","SELETAR WEST FARMWAY 6",2,92,1980,160008,209596.4161,1739.217391,2278.221914,76.341,32,30,28
"2000-11","SENGKANG","4 ROOM","6","SELETAR WEST FARMWAY 6",5,92,1980,160000,209577.7009,1739.130435,2278.018488,76.344,32,30,28
"2000-12","SENGKANG","4 ROOM","5","SELETAR WEST FARMWAY 6",2,92,1980,185000,242314.6947,2010.869565,2633.855378,76.347,32,30,28
"2002-10","SENGKANG","4 ROOM","234","COMPASSVALE WALK",11,100,1999,237000,313098.6195,2370,3130.986195,75.695,5,5,5
"2002-10","SENGKANG","4 ROOM","140","RIVERVALE ST",11,97,1999,219000,289318.9775,2257.731959,2982.669871,75.695,3,12,12
"2002-10","SENGKANG","4 ROOM","140","RIVERVALE ST",17,97,1999,241000,318382.9843,2484.536082,3282.298808,75.695,3,12,12
"2002-10","SENGKANG","4 ROOM","140","RIVERVALE ST",5,92,1999,212800,281128.2119,2313.043478,3055.741434,75.695,3,12,12
"2002-10","SENGKANG","4 ROOM","140","RIVERVALE ST",5,92,1999,216000,285355.7038,2347.826087,3101.692433,75.695,3,12,12
"2002-11","SENGKANG","4 ROOM","234","COMPASSVALE WALK",11,101,1999,250000,330272.8053,2475.247525,3270.027776,75.695,5,5,5
"2002-11","SENGKANG","4 ROOM","234","COMPASSVALE WALK",2,100,1999,223000,294603.3424,2230,2946.033424,75.695,5,5,5
"2002-11","SENGKANG","4 ROOM","234","COMPASSVALE WALK",5,100,1999,240500,317722.4387,2405,3177.224387,75.695,5,5,5
"2002-11","SENGKANG","4 ROOM","140","RIVERVALE ST",11,92,1999,224000,295924.4336,2434.782609,3216.56993,75.695,3,12,12
"2002-11","SENGKANG","4 ROOM","140","RIVERVALE ST",11,90,1999,220000,290640.0687,2444.444444,3229.334097,75.695,3,12,12
"2002-11","SENGKANG","4 ROOM","140","RIVERVALE ST",5,90,1999,215000,284034.6126,2388.888889,3155.94014,75.695,3,12,12
"2002-11","SENGKANG","4 ROOM","140","RIVERVALE ST",17,90,1999,225000,297245.5248,2500,3302.728053,75.695,3,12,12
"2002-11","SENGKANG","4 ROOM","140","RIVERVALE ST",8,90,1999,210200,277693.3747,2335.555556,3085.481941,75.695,3,12,12
"2002-11","SENGKANG","4 ROOM","140","RIVERVALE ST",11,90,1999,217000,286676.795,2411.111111,3185.297723,75.695,3,12,12
"2002-11","SENGKANG","4 ROOM","140","RIVERVALE ST",8,96,1999,234800,310192.2188,2445.833333,3231.168946,75.695,3,12,12
"2002-11","SENGKANG","4 ROOM","140","RIVERVALE ST",11,96,1999,218800,289054.7592,2279.166667,3010.987075,75.695,3,12,12
"2002-12","SENGKANG","4 ROOM","234","COMPASSVALE WALK",11,100,1999,245500,324387.8913,2455,3243.878913,75.681,5,5,5
"2002-12","SENGKANG","4 ROOM","235","COMPASSVALE WALK",8,100,1999,245000,323727.2235,2450,3237.272235,75.681,5,5,5
"2002-12","SENGKANG","4 ROOM","235","COMPASSVALE WALK",11,100,1999,243900,322273.7543,2439,3222.737543,75.681,5,5,5
"2002-12","SENGKANG","4 ROOM","140","RIVERVALE ST",2,90,1999,209500,276819.8095,2327.777778,3075.775661,75.681,3,12,12
"2002-12","SENGKANG","4 ROOM","140","RIVERVALE ST",5,90,1999,209000,276159.1417,2322.222222,3068.434907,75.681,3,12,12
"2002-12","SENGKANG","4 ROOM","140","RIVERVALE ST",11,92,1999,220000,290693.8333,2391.304348,3159.71558,75.681,3,12,12
"2002-12","SENGKANG","4 ROOM","140","RIVERVALE ST",2,90,1999,201000,265588.4568,2233.333333,2950.982853,75.681,3,12,12
"2002-12","SENGKANG","4 ROOM","140","RIVERVALE ST",2,92,1999,207000,273516.4704,2250,2973.005114,75.681,3,12,12
"2002-12","SENGKANG","5 ROOM","235","COMPASSVALE WALK",5,120,1999,318000,420184.7227,2650,3501.539356,75.681,5,5,5
"2003-01","SENGKANG","4 ROOM","234","COMPASSVALE WALK",11,100,1999,235000,311295.3862,2350,3112.953862,75.491,5,5,5
"2003-01","SENGKANG","4 ROOM","235","COMPASSVALE WALK",8,100,1999,249000,329840.6433,2490,3298.406433,75.491,5,5,5
"2003-01","SENGKANG","4 ROOM","104","RIVERVALE WALK",14,105,1999,259000,343087.2554,2466.666667,3267.497671,75.491,3,6,6
"2003-01","SENGKANG","4 ROOM","104","RIVERVALE WALK",17,104,1999,263000,348385.9003,2528.846154,3349.864426,75.491,3,6,6
"2003-01","SENGKANG","4 ROOM","104","RIVERVALE WALK",2,101,1999,230000,304672.0801,2277.227723,3016.555249,75.491,3,6,6
"2003-01","SENGKANG","4 ROOM","104","RIVERVALE WALK",8,102,1999,244000,323217.3372,2392.156863,3168.797423,75.491,3,6,6
"2003-01","SENGKANG","4 ROOM","104","RIVERVALE WALK",8,102,1999,242500,321230.3453,2377.45098,3149.317111,75.491,3,6,6
"2003-01","SENGKANG","4 ROOM","140","RIVERVALE ST",17,90,1999,229500,304009.7495,2550,3377.886106,75.491,3,12,12
"2003-01","SENGKANG","4 ROOM","140","RIVERVALE ST",14,90,1999,210000,278178.8558,2333.333333,3090.876175,75.491,3,12,12
"2003-01","SENGKANG","4 ROOM","140","RIVERVALE ST",2,90,1999,209000,276854.1945,2322.222222,3076.157717,75.491,3,12,12
"2003-01","SENGKANG","4 ROOM","140","RIVERVALE ST",2,90,1999,207000,274204.8721,2300,3046.720801,75.491,3,12,12
"2003-01","SENGKANG","4 ROOM","140","RIVERVALE ST",17,90,1999,222000,294074.7904,2466.666667,3267.497671,75.491,3,12,12
"2003-01","SENGKANG","5 ROOM","129","RIVERVALE ST",11,119,1999,343800,455418.5267,2889.07563,3827.046443,75.491,3,12,12
"2003-02","SENGKANG","4 ROOM","224D","COMPASSVALE WALK",14,102,1999,243000,321892.6759,2382.352941,3155.810549,75.491,5,5,5
"2003-02","SENGKANG","4 ROOM","224D","COMPASSVALE WALK",2,102,1999,218000,288776.1455,2137.254902,2831.138681,75.491,5,5,5
"2003-02","SENGKANG","4 ROOM","235","COMPASSVALE WALK",14,100,1999,265000,351035.2227,2650,3510.352227,75.491,5,5,5
"2003-02","SENGKANG","4 ROOM","235","COMPASSVALE WALK",5,100,1999,246000,325866.6596,2460,3258.666596,75.491,5,5,5
"2003-02","SENGKANG","4 ROOM","129","RIVERVALE ST",11,101,1999,247000,327191.3208,2445.544554,3239.518028,75.491,3,12,12
"2003-02","SENGKANG","4 ROOM","140","RIVERVALE ST",17,96,1999,240000,317918.6923,2500,3311.653045,75.491,3,12,12
"2003-02","SENGKANG","5 ROOM","206A","COMPASSVALE LANE",14,122,1999,359000,475553.3772,2942.622951,3897.978502,75.491,4,1,7
"2003-02","SENGKANG","5 ROOM","224D","COMPASSVALE WALK",5,122,1999,316000,418592.9449,2590.163934,3431.089712,75.491,5,5,5
"2003-02","SENGKANG","5 ROOM","233","COMPASSVALE WALK",8,123,1999,308000,407995.6551,2504.065041,3317.037846,75.491,5,5,5
"2003-02","SENGKANG","5 ROOM","229","COMPASSVALE WALK",14,121,1999,333000,441112.1856,2752.066116,3645.555253,75.491,5,5,5
"2003-02","SENGKANG","5 ROOM","104","RIVERVALE WALK",17,122,1999,350000,463631.4263,2868.852459,3800.257592,75.491,3,6,6
"2003-03","SENGKANG","4 ROOM","206A","COMPASSVALE LANE",8,102,1999,250000,331165.3045,2450.980392,3246.718671,75.491,4,1,7
"2003-03","SENGKANG","4 ROOM","235","COMPASSVALE WALK",14,100,1999,230000,304672.0801,2300,3046.720801,75.491,5,5,5
